"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.397174000E-3,-5.506663769E-2,9.576806799E-3,9.619902611E0,9.620064984E0
1.243261300E-2,-1.675941236E-2,-6.703764945E-2,9.907206535E0,9.907447515E0
1.746805300E-2,7.900865376E-2,1.915361360E-2,1.006043530E1,1.006076377E1
2.247297500E-2,3.112462163E-2,-8.619125932E-2,9.859322548E0,9.859748414E0
2.750841400E-2,6.943184882E-2,-8.619125932E-2,9.610325813E0,9.610963113E0
3.254385300E-2,5.027823523E-2,-7.661445439E-2,9.504981041E0,9.505422782E0
3.757929300E-2,5.985504389E-2,1.915361360E-2,9.514557838E0,9.514765386E0
4.258421400E-2,4.070143029E-2,1.149216816E-1,9.744400978E0,9.745163622E0
4.761965300E-2,2.154781483E-2,-9.576806426E-2,9.907206535E0,9.907692828E0
5.265509200E-2,2.154781483E-2,0.000000000E0,9.974244118E0,9.974267393E0
5.769053200E-2,9.816227108E-2,-8.619125932E-2,9.878476143E0,9.879339840E0
6.272597100E-2,1.197100803E-2,-1.053448766E-1,9.763554573E0,9.764130210E0
6.773089200E-2,5.027823523E-2,-4.788403213E-2,9.782708168E0,9.782954558E0
7.276633100E-2,5.027823523E-2,-5.746084079E-2,9.677363396E0,9.677664591E0
7.780177100E-2,3.112462163E-2,9.576806799E-3,9.610325813E0,9.610380986E0
8.283721000E-2,-1.675941236E-2,0.000000000E0,9.706093788E0,9.706108257E0
8.787265000E-2,3.112462163E-2,1.915361360E-2,9.725247383E0,9.725316050E0
9.290808900E-2,8.858546615E-2,-9.576806426E-2,9.945513725E0,9.946369296E0
9.791301100E-2,5.985504389E-2,-7.661445439E-2,9.782708168E0,9.783191274E0
1.029484490E-1,9.816227108E-2,-9.576806799E-3,9.773131371E0,9.773629026E0
1.079838890E-1,7.900865376E-2,3.830722719E-2,9.801861763E0,9.802255038E0
1.130193280E-1,5.027823523E-2,3.830722719E-2,9.888052940E0,9.888254967E0
1.180547670E-1,7.900865376E-2,-9.576806426E-2,9.849745750E0,9.850528170E0
1.230596890E-1,1.173158810E-1,-1.819593310E-1,9.935936928E0,9.938295369E0
1.280951290E-1,5.985504389E-2,-9.576806799E-3,9.868899345E0,9.869085501E0
1.331305680E-1,7.900865376E-2,-6.703764945E-2,9.849745750E0,9.850290745E0
1.381660070E-1,9.816227108E-2,0.000000000E0,9.696516991E0,9.697013849E0
1.432014460E-1,1.197100803E-2,-5.746084079E-2,9.715670586E0,9.715847878E0
1.482368850E-1,2.394201700E-3,-3.830722719E-2,9.811438560E0,9.811513635E0
1.532418070E-1,1.197100803E-2,-7.661445439E-2,1.000297451E1,1.000327507E1
1.582772460E-1,-1.675941236E-2,-6.703764945E-2,9.964667320E0,9.964906910E0
1.633126860E-1,2.154781483E-2,0.000000000E0,9.955090523E0,9.955113843E0
1.683481250E-1,3.112462163E-2,-7.661445439E-2,9.859322548E0,9.859669346E0
1.733835640E-1,1.556231081E-1,-6.703764945E-2,9.935936928E0,9.937381709E0
1.783884850E-1,5.027823523E-2,-1.053448766E-1,9.888052940E0,9.888741902E0
1.834239250E-1,-7.182605099E-3,-7.661445439E-2,9.907206535E0,9.907505372E0
1.884593640E-1,2.154781483E-2,1.915361360E-2,9.773131371E0,9.773173894E0
1.934948030E-1,5.985504389E-2,0.000000000E0,9.744400978E0,9.744584806E0
1.985302430E-1,2.154781483E-2,-2.873042040E-2,9.782708168E0,9.782774087E0
2.035656820E-1,1.843535304E-1,-5.746084079E-2,1.004128170E1,1.004313826E1
2.085706030E-1,5.027823523E-2,-1.915361360E-2,9.993397713E0,9.993542545E0
2.136060420E-1,2.154781483E-2,-2.873042040E-2,9.868899345E0,9.868964689E0
2.186414820E-1,4.070143029E-2,9.576806799E-3,9.792284966E0,9.792374235E0
2.236769210E-1,2.394201700E-3,8.619125932E-2,9.773131371E0,9.773511726E0
2.287123610E-1,-2.633621916E-2,1.915361360E-2,9.763554573E0,9.763608880E0
2.337172820E-1,-1.675941236E-2,-2.873042040E-2,9.686940193E0,9.686997296E0
2.387527220E-1,-4.548983276E-2,9.576806799E-3,9.629479408E0,9.629591617E0
2.437881600E-1,-1.675941236E-2,2.873042040E-2,9.706093788E0,9.706150779E0
2.488236000E-1,3.112462163E-2,-5.746084079E-2,9.773131371E0,9.773349849E0
2.538590390E-1,8.858546615E-2,-4.788403213E-2,9.725247383E0,9.725768706E0
2.588639610E-1,2.154781483E-2,2.873042040E-2,9.830592155E0,9.830657754E0
2.638994000E-1,4.070143029E-2,1.915361360E-2,9.753977776E0,9.754081500E0
2.689348400E-1,-2.633621916E-2,-3.830722719E-2,9.686940193E0,9.687051737E0
2.739702790E-1,-2.633621916E-2,-8.619125932E-2,9.629479408E0,9.629901152E0
2.790057170E-1,6.943184882E-2,2.873042040E-2,9.619902611E0,9.620196072E0
2.840411570E-1,-2.633621916E-2,-4.788403213E-2,9.753977776E0,9.754130865E0
2.890765960E-1,5.985504389E-2,-6.703764945E-2,9.706093788E0,9.706509841E0
2.941120360E-1,4.070143029E-2,-1.915361360E-2,9.686940193E0,9.687044636E0
2.991169570E-1,-7.182605099E-3,-9.576806799E-3,9.696516991E0,9.696524380E0
3.041523970E-1,-1.675941236E-2,-1.915361360E-2,9.706093788E0,9.706127156E0
3.091878360E-1,3.112462163E-2,9.576806799E-3,9.801861763E0,9.801915858E0
3.142232750E-1,1.173158810E-1,0.000000000E0,9.926360130E0,9.927053362E0
3.192587140E-1,5.027823523E-2,-9.576806799E-3,9.878476143E0,9.878608734E0
3.242636360E-1,7.900865376E-2,1.915361360E-2,9.859322548E0,9.859657719E0
3.292990750E-1,4.070143029E-2,-2.873042040E-2,9.696516991E0,9.696644976E0
3.343345140E-1,2.394201700E-3,-2.873042040E-2,9.648633003E0,9.648676075E0
3.393699540E-1,1.197100803E-2,3.830722719E-2,9.648633003E0,9.648716473E0
3.444053930E-1,1.077390760E-1,-2.873042040E-2,9.753977776E0,9.754615092E0
3.494103140E-1,1.364694983E-1,-1.053448766E-1,9.773131371E0,9.774651823E0
3.544457530E-1,5.027823523E-2,-8.619125932E-2,9.897629738E0,9.898132716E0
3.594811930E-1,2.154781483E-2,-9.576806799E-3,1.005085850E1,1.005088616E1
3.645166320E-1,1.197100803E-2,-6.703764945E-2,1.000297451E1,1.000320631E1
3.695520720E-1,2.394201700E-3,9.576806799E-3,9.955090523E0,9.955095417E0
3.745569930E-1,5.027823523E-2,-6.703764945E-2,9.543288231E0,9.543656124E0
3.795924330E-1,3.112462163E-2,-5.746084079E-2,9.504981041E0,9.505205683E0
3.846278710E-1,5.027823523E-2,-6.703764945E-2,9.610325813E0,9.610691140E0
3.896633110E-1,5.985504389E-2,-9.576806426E-2,9.993397713E0,9.994035821E0
3.946987500E-1,3.112462163E-2,-2.873042040E-2,1.007001209E1,1.007010118E1
3.997036720E-1,5.985504389E-2,-1.915361360E-2,9.926360130E0,9.926559068E0
4.047391110E-1,-5.506663769E-2,2.873042040E-2,9.725247383E0,9.725445719E0
4.097745510E-1,2.154781483E-2,4.788403213E-2,9.706093788E0,9.706235821E0
4.148099900E-1,9.816227108E-2,-4.788403213E-2,9.763554573E0,9.764165434E0
4.198454280E-1,-1.675941236E-2,-3.830722719E-2,9.916783333E0,9.916871482E0
4.248503500E-1,6.943184882E-2,-9.576806426E-2,9.993397713E0,9.994097766E0
4.298857900E-1,-4.548983276E-2,-7.661445439E-2,9.935936928E0,9.936336434E0
4.349212290E-1,7.900865376E-2,-8.619125932E-2,9.706093788E0,9.706798026E0
4.399566680E-1,-5.506663769E-2,-7.661445439E-2,9.706093788E0,9.706552361E0
4.449921080E-1,1.077390760E-1,-4.788403213E-2,9.686940193E0,9.687657658E0
4.499970290E-1,1.173158810E-1,-3.830722719E-2,9.955090523E0,9.955855452E0
4.550324680E-1,1.460463107E-1,-5.746084079E-2,1.000297451E1,1.000420563E1
4.600679070E-1,1.173158810E-1,-1.053448766E-1,9.897629738E0,9.898885543E0
4.651033470E-1,7.900865376E-2,-9.576806799E-3,9.830592155E0,9.830914312E0
4.701387860E-1,8.858546615E-2,-3.830722719E-2,9.773131371E0,9.773607912E0
4.751437080E-1,4.070143029E-2,-9.576806799E-3,9.955090523E0,9.955178333E0
4.801791470E-1,2.154781483E-2,-6.703764945E-2,9.859322548E0,9.859574000E0
4.852145860E-1,5.027823523E-2,-9.576806799E-3,9.859322548E0,9.859455397E0
4.902500250E-1,1.460463107E-1,5.746084079E-2,9.916783333E0,9.918025153E0
4.952854650E-1,1.364694983E-1,-2.873042040E-2,9.830592155E0,9.831581332E0
5.002903860E-1,9.816227108E-2,9.576806799E-3,9.830592155E0,9.831086902E0
5.053258260E-1,4.070143029E-2,-7.661445439E-2,9.868899345E0,9.869280656E0
5.103612650E-1,-2.633621916E-2,-5.746084079E-2,9.859322548E0,9.859525163E0
5.153967040E-1,-2.633621916E-2,9.576806799E-3,9.725247383E0,9.725287758E0
5.204321430E-1,1.197100803E-2,-5.746084079E-2,9.840168953E0,9.840344002E0
5.254370650E-1,5.027823523E-2,-1.340752989E-1,1.015620327E1,1.015721266E1
5.304725040E-1,5.027823523E-2,-4.788403213E-2,1.010831928E1,1.010855774E1
5.355079430E-1,1.077390760E-1,-5.746084079E-2,9.801861763E0,9.802622276E0
5.405433830E-1,6.943184882E-2,-6.703764945E-2,9.600749016E0,9.601234113E0
5.455788220E-1,-1.675941236E-2,3.830722719E-2,9.677363396E0,9.677453726E0
5.505837430E-1,2.394201700E-3,-1.915361360E-2,9.686940193E0,9.686959425E0
5.556191820E-1,2.154781483E-2,-2.873042040E-2,9.830592155E0,9.830657754E0
5.606546220E-1,8.858546615E-2,2.873042040E-2,9.715670586E0,9.716116907E0
5.656900610E-1,1.173158810E-1,-4.788403213E-2,9.763554573E0,9.764376775E0
5.707255010E-1,4.070143029E-2,-4.788403213E-2,9.639056206E0,9.639261073E0
5.757304220E-1,-3.591302410E-2,-7.661445439E-2,9.888052940E0,9.888414963E0
5.807658620E-1,-6.464344263E-2,1.915361360E-2,9.888052940E0,9.888282793E0
5.858013000E-1,-4.548983276E-2,4.788403213E-2,9.801861763E0,9.802084280E0
5.908367400E-1,-1.675941236E-2,1.340752989E-1,9.543288231E0,9.544244722E0
5.958721790E-1,-2.633621916E-2,1.915361360E-2,9.437943459E0,9.437999639E0
6.008771010E-1,6.943184882E-2,-3.830722719E-2,9.543288231E0,9.543617683E0
6.059125400E-1,9.816227108E-2,-1.436520964E-1,9.619902611E0,9.621475874E0
6.109479800E-1,5.985504389E-2,3.830722719E-2,9.792284966E0,9.792542822E0
6.159834190E-1,5.985504389E-2,7.661445439E-2,9.888052940E0,9.888530900E0
6.210188570E-1,5.027823523E-2,-3.830722719E-2,9.907206535E0,9.907408172E0
6.260237790E-1,2.154781483E-2,0.000000000E0,9.821015358E0,9.821038996E0
6.310592190E-1,-1.029506698E-1,-4.788403213E-2,9.753977776E0,9.754638597E0
6.360946580E-1,1.197100803E-2,-6.703764945E-2,9.715670586E0,9.715909236E0
6.411300970E-1,6.943184882E-2,-7.661445439E-2,9.610325813E0,9.610881999E0
6.461655370E-1,2.394201700E-3,2.873042040E-2,9.581595421E0,9.581638794E0
6.511704580E-1,5.027823523E-2,-2.873042040E-2,9.610325813E0,9.610500277E0
6.562058970E-1,5.027823523E-2,-4.788403213E-2,9.897629738E0,9.897873267E0
6.612413360E-1,4.070143029E-2,-5.746084079E-2,1.002212811E1,1.002237547E1
6.662767760E-1,2.394201700E-3,-3.830722719E-2,1.001255131E1,1.001262487E1
6.713122150E-1,8.858546615E-2,1.915361360E-2,9.945513725E0,9.945926679E0
6.763171370E-1,6.943184882E-2,-4.788403213E-2,9.715670586E0,9.716036671E0
6.813525760E-1,8.858546615E-2,-1.915361360E-2,9.773131371E0,9.773551608E0
6.863880150E-1,5.027823523E-2,3.830722719E-2,9.849745750E0,9.849948563E0
6.914234540E-1,9.816227108E-2,-3.830722719E-2,9.916783333E0,9.917343139E0
6.964588940E-1,1.077390760E-1,0.000000000E0,9.907206535E0,9.907792339E0
7.014943330E-1,9.816227108E-2,-3.830722719E-2,9.667786598E0,9.668360822E0
7.064992550E-1,1.077390760E-1,-6.703764945E-2,9.715670586E0,9.716499199E0
7.115346940E-1,9.816227108E-2,-3.830722719E-2,9.868899345E0,9.869461868E0
7.165701330E-1,1.173158810E-1,-4.788403213E-2,9.926360130E0,9.927168848E0
7.216055720E-1,6.943184882E-2,-5.746084079E-2,1.001255131E1,1.001295692E1
7.266410110E-1,2.154781483E-2,-7.661445439E-2,9.974244118E0,9.974561635E0
7.316459330E-1,4.070143029E-2,-4.788403213E-2,9.868899345E0,9.869099441E0
7.366813720E-1,5.027823523E-2,-2.873042040E-2,9.658209801E0,9.658383400E0
7.417168120E-1,6.943184882E-2,-7.661445439E-2,9.734824181E0,9.735373253E0
7.467522510E-1,4.070143029E-2,-6.703764945E-2,9.878476143E0,9.878787454E0
7.517876910E-1,6.943184882E-2,-8.619125932E-2,1.000297451E1,1.000358680E1
7.567926110E-1,4.070143029E-2,9.576806799E-3,9.907206535E0,9.907294770E0
7.618280510E-1,-1.675941236E-2,9.576806799E-3,9.763554573E0,9.763573654E0
7.668634900E-1,1.197100803E-2,6.703764945E-2,9.619902611E0,9.620143637E0
7.718989300E-1,4.070143029E-2,8.619125932E-2,9.830592155E0,9.831054250E0
7.769343690E-1,4.070143029E-2,-3.830722719E-2,9.926360130E0,9.926517490E0
7.819392910E-1,9.816227108E-2,-1.149216816E-1,1.003170490E1,1.003284337E1
7.869747290E-1,5.027823523E-2,-8.619125932E-2,9.907206535E0,9.907709027E0
7.920101690E-1,3.112462163E-2,0.000000000E0,9.629479408E0,9.629529709E0
7.970456080E-1,8.858546615E-2,3.830722719E-2,9.686940193E0,9.687420974E0
8.020505300E-1,1.197100803E-2,-4.788403213E-2,9.782708168E0,9.782832682E0
8.070859690E-1,6.943184882E-2,-7.661445439E-2,9.916783333E0,9.917322331E0
8.121214090E-1,5.027823523E-2,0.000000000E0,9.897629738E0,9.897757439E0
8.171568480E-1,1.077390760E-1,9.576806799E-3,9.849745750E0,9.850339627E0
8.221922860E-1,8.858546615E-2,-3.830722719E-2,9.782708168E0,9.783184243E0
8.271972080E-1,6.943184882E-2,-9.576806799E-3,9.840168953E0,9.840418564E0
8.322326480E-1,7.900865376E-2,-1.244984865E-1,1.006043530E1,1.006151582E1
8.372680870E-1,4.070143029E-2,-7.661445439E-2,9.859322548E0,9.859704229E0
8.423035260E-1,5.027823523E-2,-5.746084079E-2,9.639056206E0,9.639358598E0
8.473389660E-1,7.900865376E-2,-4.788403213E-2,9.658209801E0,9.658651656E0
8.523438870E-1,8.858546615E-2,-1.149216816E-1,9.782708168E0,9.783784211E0
8.573793260E-1,8.858546615E-2,-5.746084079E-2,1.007001209E1,1.007056566E1
8.624147650E-1,1.173158810E-1,1.915361360E-2,9.849745750E0,9.850462995E0
8.674502050E-1,2.394201700E-3,3.830722719E-2,9.801861763E0,9.801936910E0
8.724856440E-1,4.070143029E-2,0.000000000E0,9.639056206E0,9.639142137E0
8.774905660E-1,-7.182605099E-3,-4.788403213E-2,9.868899345E0,9.869018125E0
8.825260050E-1,3.112462163E-2,-1.244984865E-1,9.945513725E0,9.946341633E0
8.875614440E-1,5.027823523E-2,-1.532289088E-1,9.926360130E0,9.927670041E0
8.925968830E-1,3.112462163E-2,-2.873042040E-2,9.715670586E0,9.715762919E0
8.976323230E-1,5.985504389E-2,-2.873042040E-2,9.533711433E0,9.533942614E0
9.026677620E-1,-7.182605099E-3,-1.149216816E-1,9.610325813E0,9.611015598E0
9.076726840E-1,3.112462163E-2,-1.053448766E-1,9.821015358E0,9.821629648E0
9.127081230E-1,5.985504389E-2,-5.746084079E-2,9.725247383E0,9.725601320E0
9.177435620E-1,2.154781483E-2,-1.149216816E-1,9.744400978E0,9.745102448E0
9.227790010E-1,1.077390760E-1,1.915361360E-2,9.562441826E0,9.563067930E0
9.278144400E-1,6.943184882E-2,-9.576806799E-3,9.725247383E0,9.725499944E0
9.328193620E-1,5.985504389E-2,-2.873042040E-2,1.002212811E1,1.002234802E1
9.378548010E-1,1.197100803E-2,-9.576806799E-3,1.007001209E1,1.007002376E1
9.428902410E-1,2.154781483E-2,-1.915361360E-2,9.782708168E0,9.782750649E0
9.479256800E-1,-3.591302410E-2,8.619125932E-2,9.485827446E0,9.486286998E0
9.529611200E-1,1.077390760E-1,1.436520964E-1,9.524134636E0,9.525827218E0
9.579660400E-1,1.268926859E-1,-4.788403213E-2,9.840168953E0,9.841103579E0
9.630014800E-1,6.943184882E-2,-1.053448766E-1,1.002212811E1,1.002292223E1
9.680369190E-1,5.985504389E-2,-9.576806426E-2,9.916783333E0,9.917426371E0
9.730723590E-1,9.816227108E-2,9.576806799E-3,9.859322548E0,9.859815853E0
9.781077980E-1,5.985504389E-2,-4.788403213E-2,9.524134636E0,9.524443085E0
9.831432370E-1,-4.548983276E-2,1.915361360E-2,9.495404243E0,9.495532525E0
9.881481580E-1,3.112462163E-2,4.788403213E-2,9.763554573E0,9.763721602E0
9.931835980E-1,5.027823523E-2,-1.340752989E-1,1.009874249E1,1.009975761E1
9.982190370E-1,1.197100803E-2,-8.619125932E-2,1.013704967E1,1.013742316E1
1.003254476E0,2.154781483E-2,-9.576806426E-2,9.945513725E0,9.945998144E0
1.008289916E0,5.985504389E-2,1.915361360E-2,9.581595421E0,9.581801516E0
1.013294838E0,6.943184882E-2,9.576806799E-3,9.437943459E0,9.438203707E0
1.018330277E0,2.154781483E-2,9.576806799E-3,9.600749016E0,9.600777973E0
1.023365715E0,-1.675941236E-2,2.873042040E-2,9.878476143E0,9.878532139E0
1.028401155E0,7.900865376E-2,-6.703764945E-2,1.007001209E1,1.007054517E1
1.033436594E0,4.070143029E-2,-7.661445439E-2,1.015620327E1,1.015657379E1
1.038441516E0,2.154781483E-2,-9.576806799E-3,9.868899345E0,9.868927516E0
1.043476955E0,5.027823523E-2,-2.873042040E-2,9.773131371E0,9.773302928E0
1.048512395E0,5.985504389E-2,-9.576806799E-3,9.648633003E0,9.648823409E0
1.053547834E0,-2.633621916E-2,-1.915361360E-2,9.600749016E0,9.600804243E0
1.058583274E0,7.900865376E-2,3.830722719E-2,9.639056206E0,9.639456123E0
1.063588194E0,9.816227108E-2,-5.746084079E-2,9.897629738E0,9.898283286E0
1.068623634E0,1.077390760E-1,-2.873042040E-2,9.849745750E0,9.850376871E0
1.073659073E0,1.077390760E-1,-3.830722719E-2,1.008916569E1,1.008981365E1
1.078694513E0,1.197100803E-2,-8.619125932E-2,9.955090523E0,9.955470835E0
1.083729952E0,-1.029506698E-1,-1.244984865E-1,9.945513725E0,9.946825723E0
1.088765391E0,-7.422025502E-2,-5.746084079E-2,9.782708168E0,9.783158462E0
1.093770312E0,2.394201700E-3,-6.703764945E-2,9.782708168E0,9.782938152E0
1.098805752E0,7.900865376E-2,-9.576806426E-2,9.773131371E0,9.773919924E0
1.103841191E0,2.154781483E-2,-5.746084079E-2,9.792284966E0,9.792477261E0
1.108876630E0,6.943184882E-2,9.576806799E-3,9.773131371E0,9.773382694E0
1.113912070E0,4.070143029E-2,-4.788403213E-2,9.849745750E0,9.849946235E0
1.118916991E0,1.197100803E-2,-9.576806426E-2,9.897629738E0,9.898100285E0
1.123952431E0,2.394201700E-3,-2.873042040E-2,9.907206535E0,9.907248483E0
1.128987869E0,6.943184882E-2,-4.788403213E-2,9.974244118E0,9.974600713E0
1.134023309E0,-1.675941236E-2,2.873042040E-2,1.002212811E1,1.002218330E1
1.139058748E0,5.985504389E-2,-9.576806799E-3,9.897629738E0,9.897815353E0
1.144063670E0,6.943184882E-2,-9.576806799E-3,9.782708168E0,9.782959245E0
1.149099109E0,5.027823523E-2,-1.436520964E-1,9.686940193E0,9.688135741E0
1.154134549E0,6.943184882E-2,-1.244984865E-1,9.773131371E0,9.774170934E0
1.159169988E0,-7.182605099E-3,-4.788403213E-2,9.849745750E0,9.849864761E0
1.164205426E0,-4.548983276E-2,-7.661445439E-2,9.782708168E0,9.783113932E0
1.169210348E0,2.394201700E-3,-5.746084079E-2,9.677363396E0,9.677534282E0
1.174245788E0,8.858546615E-2,-9.576806426E-2,9.763554573E0,9.764426087E0
1.179281227E0,3.112462163E-2,-1.915361360E-2,9.878476143E0,9.878543744E0
1.184316666E0,1.077390760E-1,0.000000000E0,1.001255131E1,1.001313095E1
1.189352106E0,2.394201700E-3,-8.619125932E-2,1.007001209E1,1.007038123E1
1.194357027E0,-1.675941236E-2,-5.746084079E-2,9.706093788E0,9.706278342E0
1.199392466E0,4.070143029E-2,2.873042040E-2,9.409213066E0,9.409344959E0
1.204427905E0,3.112462163E-2,1.915361360E-2,9.323021889E0,9.323093518E0
1.209463345E0,1.197100803E-2,-5.746084079E-2,9.610325813E0,9.610505049E0
1.214498784E0,1.173158810E-1,-6.703764945E-2,1.006043530E1,1.006134262E1
1.219503706E0,1.651999205E-1,-1.915361360E-2,1.003170490E1,1.003308333E1
1.224539145E0,1.077390760E-1,-5.746084079E-2,9.686940193E0,9.687709727E0
1.229574584E0,1.460463107E-1,-9.576806799E-3,9.466673851E0,9.467805186E0
1.234610023E0,8.858546615E-2,-9.576806799E-3,9.552865028E0,9.553280554E0
1.239645463E0,5.027823523E-2,-2.873042040E-2,9.859322548E0,9.859492606E0
1.244680902E0,8.858546615E-2,-3.830722719E-2,9.830592155E0,9.831065911E0
1.249685824E0,7.900865376E-2,-3.830722719E-2,9.830592155E0,9.830984281E0
1.254721263E0,4.070143029E-2,-5.746084079E-2,9.533711433E0,9.533971473E0
1.259756703E0,2.394201700E-3,-6.703764945E-2,9.437943459E0,9.438181843E0
1.264792141E0,6.943184882E-2,-8.619125932E-2,9.811438560E0,9.812062797E0
1.269827580E0,1.556231081E-1,-3.830722719E-2,9.897629738E0,9.898927236E0
1.274832502E0,1.843535304E-1,-3.830722719E-2,9.840168953E0,9.841970265E0
1.279867942E0,9.816227108E-2,-1.915361360E-2,9.610325813E0,9.610846213E0
1.284903381E0,6.943184882E-2,1.915361360E-2,9.744400978E0,9.744667160E0
1.289938820E0,6.943184882E-2,-1.053448766E-1,9.964667320E0,9.965466027E0
1.294974260E0,-2.633621916E-2,-1.532289088E-1,9.964667320E0,9.965880167E0
1.299979181E0,1.197100803E-2,-7.661445439E-2,9.868899345E0,9.869203989E0
1.305014620E0,5.027823523E-2,-7.661445439E-2,9.677363396E0,9.677797268E0
1.310050059E0,-4.548983276E-2,-8.619125932E-2,9.504981041E0,9.505480674E0
1.315085499E0,1.460463107E-1,9.576806799E-3,9.715670586E0,9.716772930E0
1.320120938E0,6.943184882E-2,-8.619125932E-2,9.897629738E0,9.898248539E0
1.325125860E0,2.394201700E-3,-5.746084079E-2,9.935936928E0,9.936103367E0
1.330161298E0,2.154781483E-2,-1.915361360E-2,9.907206535E0,9.907248483E0
1.335196738E0,1.197100803E-2,-1.915361360E-2,9.849745750E0,9.849771648E0
1.340232177E0,-2.633621916E-2,-3.830722719E-2,9.907206535E0,9.907315599E0
1.345267616E0,1.197100803E-2,9.576806799E-3,9.993397713E0,9.993409471E0
1.350272538E0,5.027823523E-2,-1.053448766E-1,9.849745750E0,9.850437391E0
1.355307978E0,5.027823523E-2,-8.619125932E-2,9.706093788E0,9.706606691E0
1.360343417E0,-5.506663769E-2,-6.703764945E-2,9.600749016E0,9.601140976E0
1.365378855E0,5.027823523E-2,1.915361360E-2,9.619902611E0,9.620053067E0
1.370383777E0,5.985504389E-2,9.576806799E-3,9.715670586E0,9.715859677E0
1.375419217E0,4.070143029E-2,5.746084079E-2,9.897629738E0,9.897880217E0
1.380454656E0,2.154781483E-2,2.873042040E-2,9.811438560E0,9.811504287E0
1.385490095E0,4.070143029E-2,-2.873042040E-2,9.878476143E0,9.878601771E0
1.390525535E0,-7.182605099E-3,-5.746084079E-2,9.849745750E0,9.849915974E0
1.395530456E0,-3.591302410E-2,9.576806799E-3,9.916783333E0,9.916852985E0
1.400565895E0,5.985504389E-2,-5.746084079E-2,9.715670586E0,9.716024871E0
