"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.218480000E-3,-2.633621916E-2,-9.576806799E-3,9.821015358E0,9.821055339E0
1.222339900E-2,5.027823523E-2,-1.053448766E-1,9.916783333E0,9.917470298E0
1.725883800E-2,2.394201700E-3,-1.149216816E-1,9.878476143E0,9.879144884E0
2.229427600E-2,7.900865376E-2,-3.830722719E-2,9.734824181E0,9.735220164E0
2.732971500E-2,2.394201700E-3,-1.915361360E-2,9.706093788E0,9.706112982E0
3.236515200E-2,-1.675941236E-2,-2.873042040E-2,9.753977776E0,9.754034486E0
3.737007300E-2,1.197100803E-2,2.873042040E-2,9.821015358E0,9.821064678E0
4.240551100E-2,5.985504389E-2,9.576806799E-3,9.907206535E0,9.907391971E0
4.744095000E-2,-4.548983276E-2,-9.576806799E-3,9.878476143E0,9.878585524E0
5.247638700E-2,-6.464344263E-2,9.576806799E-3,9.849745750E0,9.849962530E0
5.751182500E-2,6.943184882E-2,-2.873042040E-2,9.830592155E0,9.830879327E0
6.251674600E-2,2.154781483E-2,-8.619125932E-2,9.706093788E0,9.706500392E0
6.755218400E-2,6.943184882E-2,-9.576806426E-2,9.706093788E0,9.706814561E0
7.258762200E-2,2.154781483E-2,0.000000000E0,9.840168953E0,9.840192545E0
7.762306000E-2,5.027823523E-2,-1.244984865E-1,9.868899345E0,9.869812666E0
8.265849900E-2,8.858546615E-2,-2.873042040E-2,1.007001209E1,1.007044271E1
8.766341900E-2,-3.591302410E-2,-7.661445439E-2,9.935936928E0,9.936297205E0
9.269885700E-2,2.154781483E-2,-6.703764945E-2,9.753977776E0,9.754231943E0
9.773429500E-2,5.985504389E-2,5.746084079E-2,9.667786598E0,9.668142639E0
1.027697340E-1,8.858546615E-2,-9.576806799E-3,9.744400978E0,9.744808337E0
1.078051710E-1,5.027823523E-2,-3.830722719E-2,9.792284966E0,9.792488968E0
1.128100920E-1,6.943184882E-2,-6.703764945E-2,9.878476143E0,9.878947603E0
1.178455300E-1,4.070143029E-2,-6.703764945E-2,1.003170490E1,1.003201146E1
1.228809690E-1,2.394201700E-3,-6.703764945E-2,9.888052940E0,9.888280474E0
1.279164060E-1,-3.591302410E-2,1.915361360E-2,9.734824181E0,9.734909267E0
1.329518440E-1,-2.633621916E-2,-9.576806799E-3,9.658209801E0,9.658250456E0
1.379567650E-1,5.027823523E-2,-5.746084079E-2,9.734824181E0,9.735123598E0
1.429922030E-1,2.394201700E-3,-8.619125932E-2,9.801861763E0,9.802241003E0
1.480276410E-1,2.154781483E-2,-2.873042040E-2,9.945513725E0,9.945578566E0
1.530630790E-1,4.070143029E-2,-3.830722719E-2,9.926360130E0,9.926517490E0
1.580985180E-1,-9.337386489E-2,-2.873042040E-2,9.897629738E0,9.898111868E0
1.631339560E-1,5.985504389E-2,-1.053448766E-1,9.753977776E0,9.754730269E0
1.681388760E-1,3.112462163E-2,9.576806799E-3,9.773131371E0,9.773185624E0
1.731743140E-1,-3.591302410E-2,-4.788403213E-2,9.744400978E0,9.744584806E0
1.782097530E-1,-5.506663769E-2,1.915361360E-2,9.849745750E0,9.849918301E0
1.832451910E-1,2.154781483E-2,-1.149216816E-1,9.888052940E0,9.888744220E0
1.882806290E-1,-1.675941236E-2,-3.830722719E-2,9.935936928E0,9.936024907E0
1.932855490E-1,-9.337386489E-2,0.000000000E0,9.868899345E0,9.869341060E0
1.983209880E-1,-1.675941236E-2,-3.830722719E-2,9.878476143E0,9.878564634E0
2.033564250E-1,-7.182605099E-3,2.873042040E-2,9.782708168E0,9.782752993E0
2.083918640E-1,-4.548983276E-2,-9.576806799E-3,9.686940193E0,9.687051737E0
2.133967840E-1,-9.337386489E-2,0.000000000E0,9.792284966E0,9.792730136E0
2.184322230E-1,-4.548983276E-2,0.000000000E0,9.897629738E0,9.897734274E0
2.234676600E-1,-8.379705995E-2,-1.053448766E-1,1.001255131E1,1.001345611E1
2.285030990E-1,-3.591302410E-2,-7.661445439E-2,9.859322548E0,9.859685625E0
2.335385370E-1,-7.182605099E-3,-4.788403213E-2,9.830592155E0,9.830711398E0
2.385434570E-1,-7.182605099E-3,-1.915361360E-2,9.821015358E0,9.821036662E0
2.435788950E-1,-9.337386489E-2,-9.576806426E-2,9.686940193E0,9.687863568E0
2.486143340E-1,-1.675941236E-2,-3.830722719E-2,9.811438560E0,9.811527656E0
2.536497720E-1,-7.182605099E-3,-8.619125932E-2,9.888052940E0,9.888431194E0
2.586852100E-1,3.112462163E-2,-9.576806799E-3,9.878476143E0,9.878529818E0
2.636901300E-1,-4.548983276E-2,-5.746084079E-2,9.935936928E0,9.936207209E0
2.687255690E-1,1.197100803E-2,-4.788403213E-2,9.840168953E0,9.840292740E0
2.737610070E-1,2.154781483E-2,-8.619125932E-2,9.734824181E0,9.735229585E0
2.787964440E-1,-3.591302410E-2,-8.619125932E-2,9.715670586E0,9.716119267E0
2.838318830E-1,3.112462163E-2,-5.746084079E-2,9.696516991E0,9.696737196E0
2.888368040E-1,2.394201700E-3,-9.576806799E-3,9.888052940E0,9.888057868E0
2.938722420E-1,5.027823523E-2,-8.619125932E-2,9.907206535E0,9.907709027E0
2.989076790E-1,9.816227108E-2,-9.576806799E-3,9.974244118E0,9.974731739E0
3.039431180E-1,-3.591302410E-2,-3.830722719E-2,9.859322548E0,9.859462373E0
3.089785560E-1,2.154781483E-2,-7.661445439E-2,9.811438560E0,9.811761346E0
3.139834760E-1,1.197100803E-2,2.873042040E-2,9.686940193E0,9.686990196E0
3.190189140E-1,-4.548983276E-2,1.915361360E-2,9.725247383E0,9.725372633E0
3.240543530E-1,3.112462163E-2,-2.873042040E-2,9.878476143E0,9.878566955E0
3.290897910E-1,3.112462163E-2,-1.149216816E-1,9.888052940E0,9.888769726E0
3.341252290E-1,7.900865376E-2,-3.830722719E-2,9.926360130E0,9.926748473E0
3.391301490E-1,6.943184882E-2,-4.788403213E-2,9.849745750E0,9.850106853E0
3.441655880E-1,-3.591302410E-2,-6.703764945E-2,9.744400978E0,9.744697749E0
3.492010260E-1,2.394201700E-3,-7.661445439E-2,9.696516991E0,9.696819956E0
3.542364630E-1,1.197100803E-2,-9.576806799E-3,9.792284966E0,9.792296966E0
3.592719020E-1,2.394201700E-3,-2.873042040E-2,9.888052940E0,9.888094969E0
3.642768230E-1,5.985504389E-2,-4.788403213E-2,9.878476143E0,9.878773528E0
3.693122610E-1,-4.548983276E-2,-6.703764945E-2,9.916783333E0,9.917114250E0
3.743476980E-1,-1.675941236E-2,-1.149216816E-1,9.897629738E0,9.898311083E0
3.793831370E-1,-3.591302410E-2,-1.915361360E-2,9.763554573E0,9.763639409E0
3.844185750E-1,-3.591302410E-2,-2.873042040E-2,9.686940193E0,9.687049370E0
3.894234950E-1,-2.633621916E-2,-4.788403213E-2,9.773131371E0,9.773284160E0
3.944589330E-1,4.070143029E-2,-2.873042040E-2,9.782708168E0,9.782835026E0
3.994943720E-1,2.394201700E-3,-9.576806799E-3,9.849745750E0,9.849750697E0
4.045298100E-1,3.112462163E-2,-1.149216816E-1,9.945513725E0,9.946226370E0
4.095347300E-1,5.027823523E-2,-9.576806799E-3,9.878476143E0,9.878608734E0
4.145701680E-1,-3.591302410E-2,-6.703764945E-2,9.744400978E0,9.744697749E0
4.196056070E-1,-2.633621916E-2,-9.576806799E-3,9.734824181E0,9.734864516E0
4.246410450E-1,-3.591302410E-2,-3.830722719E-2,9.734824181E0,9.734965794E0
4.296764830E-1,2.394201700E-3,-9.576806799E-3,9.830592155E0,9.830597112E0
4.346814030E-1,-3.591302410E-2,-1.915361360E-2,9.868899345E0,9.868983276E0
